fold,split,samples,crazing,inclusion,patches,pitted_surface,rolled-in_scale,scratches
0,train,979,164,163,163,163,163,163
0,val,173,28,29,29,29,29,29
0,test,288,48,48,48,48,48,48
1,train,979,163,163,163,163,163,164
1,val,173,29,29,29,29,29,28
1,test,288,48,48,48,48,48,48
2,train,979,164,163,163,163,163,163
2,val,173,28,29,29,29,29,29
2,test,288,48,48,48,48,48,48
3,train,979,163,163,164,163,163,163
3,val,173,29,29,28,29,29,29
3,test,288,48,48,48,48,48,48
4,train,979,163,163,163,164,163,163
4,val,173,29,29,29,28,29,29
4,test,288,48,48,48,48,48,48
